ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
126,161,9,9,28.77777777777778,15.0,45,95,240,MOVE_LEFT
126,161,9,9,999,100,65,95,240,MOVE_RIGHT
135,170,9,9,27.77777777777778,15.0,40,100,240,MOVE_LEFT
135,170,9,9,999,100,70,100,240,MOVE_RIGHT
144,179,9,9,26.77777777777778,15.0,35,105,240,MOVE_LEFT
153,188,9,9,25.77777777777778,15.0,30,110,240,MOVE_LEFT
162,197,9,9,24.77777777777778,15.0,25,115,240,MOVE_LEFT
171,206,9,9,999,100,85,120,240,MOVE_LEFT
240,MOVE_LEFT
180,215,9,9,22.77777777777778,15.0,15,125,240,MOVE_LEFT
180,215,9,9,999,100,85,125,240,MOVE_LEFT
189,224,9,9,21.77777777777778,15.0,10,130,240,MOVE_LEFT
190,233,1,9,20.77777777777778,189.22222222222223,10,135,240,MOVE_RIGHT
181,242,-9,9,19.77777777777778,3.0,15,140,240,MOVE_LEFT
181,242,-9,9,999,100,85,140,240,MOVE_LEFT
175,251,-6,9,18.77777777777778,62.33333333333333,10,145,240,MOVE_RIGHT
175,251,-6,9,999,100,80,145,240,NONE
184,260,9,9,999,100,80,150,240,NONE
184,260,9,9,17.77777777777778,56.0,15,150,240,MOVE_RIGHT
190,269,6,9,999,100,75,155,240,MOVE_RIGHT
33331,20,155,240,MOVE_RIGHT
181,278,-9,9,15.777777777777779,39.0,25,160,240,MOVE_LEFT
172,287,-9,9,14.777777777777779,39.0,25,165,240,MOVE_LEFT
172,287,-9,9,999,100,75,165,240,MOVE_RIGHT
163,296,-9,9,999,100,80,170,240,NONE
163,296,-9,9,13.777777777777779,39.0,20,170,240,NONE
154,305,-9,9,12.777777777777779,39.0,25,165,240,MOVE_LEFT
154,305,-9,9,999,100,80,165,240,NONE
145,314,-9,9,999,100,75,160,240,MOVE_RIGHT
145,314,-9,9,11.777777777777779,39.0,30,160,240,MOVE_LEFT
136,323,-9,9,10.777777777777779,39.0,25,155,240,MOVE_LEFT
136,323,-9,9,999,100,75,155,240,MOVE_RIGHT
127,332,-9,9,9.777777777777779,39.0,20,150,240,NONE
127,332,-9,9,999,100,75,150,240,MOVE_RIGHT
118,341,-9,9,999,100,80,145,240,NONE
118,341,-9,9,8.777777777777779,39.0,25,145,240,MOVE_LEFT
109,350,-9,9,999,100,85,140,240,MOVE_LEFT
109,350,-9,9,7.777777777777778,39.0,20,140,240,NONE
100,359,-9,9,999,100,80,135,240,NONE
,135,240,NONE
91,368,-9,9,5.777777777777778,39.0,15,130,240,NONE
91,368,-9,9,999,100,85,130,240,MOVE_LEFT
82,377,-9,9,4.777777777777778,39.0,20,125,240,NONE
82,377,-9,9,999,100,90,125,240,MOVE_LEFT
73,386,-9,9,999,100,90,120,240,MOVE_LEFT
73,386,-9,9,3.7777777777777777,39.0,15,120,240,NONE
64,395,-9,9,999,100,90,115,240,MOVE_LEFT
64,395,-9,9,2.7777777777777777,39.0,15,115,240,NONE
