ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
82,161,-12,9,28.77777777777778,136.66666666666663,110,95,240,MOVE_RIGHT
70,170,-12,9,27.77777777777778,136.66666666666663,110,100,240,MOVE_RIGHT
70,170,-12,9,999,100,115,100,240,MOVE_LEFT
58,179,-12,9,26.77777777777778,136.66666666666663,110,105,240,MOVE_RIGHT
58,179,-12,9,999,100,110,105,240,MOVE_LEFT
46,188,-12,9,999,100,105,110,240,MOVE_LEFT
34,197,-12,9,24.77777777777778,136.66666666666663,110,115,240,MOVE_RIGHT
34,197,-12,9,999,100,100,115,240,MOVE_LEFT
22,206,-12,9,999,100,95,120,240,MOVE_LEFT
10,215,-12,9,999,100,90,125,240,MOVE_LEFT
0,224,-10,9,21.77777777777778,182.22222222222223,115,130,240,MOVE_RIGHT
12,233,12,9,999,100,85,135,240,MOVE_LEFT
36,251,12,9,999,100,85,145,240,MOVE_LEFT
60,269,12,9,999,100,85,155,240,MOVE_LEFT
72,278,12,9,15.777777777777779,138.66666666666663,125,160,240,MOVE_LEFT
72,278,12,9,999,100,85,160,240,MOVE_LEFT
84,287,12,9,999,100,85,165,240,MOVE_LEFT
84,287,12,9,14.777777777777779,138.66666666666663,125,165,240,MOVE_LEFT
144,332,12,9,999,100,75,150,240,MOVE_RIGHT
156,341,12,9,999,100,75,145,240,MOVE_RIGHT
190,368,10,9,5.777777777777778,152.22222222222223,120,130,240,MOVE_RIGHT
178,377,-12,9,4.777777777777778,120.66666666666667,125,125,240,MOVE_LEFT
166,386,-12,9,3.7777777777777777,120.66666666666667,120,120,240,MOVE_LEFT
154,395,-12,9,999,100,75,115,240,MOVE_RIGHT
154,395,-12,9,2.7777777777777777,120.66666666666667,115,115,240,MOVE_LEFT
142,404,-12,9,1.7777777777777777,120.66666666666667,115,110,240,MOVE_LEFT
130,410,-12,6,999,100,85,105,240,MOVE_LEFT
130,410,-12,6,1.6666666666666667,110.0,115,105,240,MOVE_LEFT
121,401,-9,-9,999,100,110,100,240,MOVE_LEFT
121,401,-9,-9,35.666666666666664,200.0,85,100,240,MOVE_RIGHT
112,392,-9,-9,34.666666666666664,200.0,90,95,240,MOVE_RIGHT
112,392,-9,-9,999,100,105,95,240,MOVE_LEFT
103,383,-9,-9,33.666666666666664,200.0,95,90,240,MOVE_RIGHT
103,383,-9,-9,999,100,100,90,240,MOVE_LEFT
94,374,-9,-9,999,100,95,85,240,MOVE_LEFT
94,374,-9,-9,32.666666666666664,200.0,100,85,240,MOVE_RIGHT
85,365,-9,-9,31.666666666666668,200.0,105,80,240,MOVE_RIGHT
76,356,-9,-9,999,100,85,75,240,MOVE_LEFT
76,356,-9,-9,30.666666666666668,200.0,110,75,240,MOVE_RIGHT
67,347,-9,-9,29.666666666666668,200.0,115,70,240,MOVE_RIGHT
58,338,-9,-9,28.666666666666668,200.0,120,65,240,MOVE_RIGHT
49,329,-9,-9,27.666666666666668,200.0,125,60,240,MOVE_RIGHT
40,320,-9,-9,26.666666666666668,200.0,130,55,240,MOVE_RIGHT
40,320,-9,-9,999,100,85,55,240,MOVE_LEFT
31,311,-9,-9,25.666666666666668,200.0,135,50,240,MOVE_RIGHT
31,311,-9,-9,999,100,85,50,240,MOVE_LEFT
22,302,-9,-9,24.666666666666668,200.0,140,45,240,MOVE_RIGHT
13,293,-9,-9,23.666666666666668,200.0,145,40,240,MOVE_RIGHT
4,284,-9,-9,22.666666666666668,200.0,150,35,240,MOVE_RIGHT
0,275,-4,-9,21.666666666666668,86.66666666666667,155,30,240,MOVE_LEFT
9,266,9,-9,20.666666666666668,195.0,150,25,240,MOVE_RIGHT
27,269,9,9,16.77777777777778,178.0,80,15,240,MOVE_RIGHT
36,278,9,9,999,100,145,10,240,MOVE_LEFT
,240,MOVE_RIGHT
45,287,9,9,999,100,140,5,240,MOVE_LEFT
45,287,9,9,14.777777777777779,178.0,90,5,240,MOVE_RIGHT
54,296,9,9,13.777777777777779,178.0,95,0,240,MOVE_RIGHT
54,296,9,9,999,100,135,0,240,MOVE_LEFT
63,305,9,9,12.777777777777779,178.0,100,5,240,MOVE_RIGHT
63,305,9,9,999,100,130,5,240,MOVE_LEFT
72,314,9,9,999,100,125,10,240,MOVE_LEFT
72,314,9,9,11.777777777777779,178.0,105,10,240,MOVE_RIGHT
81,323,9,9,10.777777777777779,178.0,110,15,240,MOVE_RIGHT
81,323,9,9,999,100,120,15,240,MOVE_LEFT
90,332,9,9,9.777777777777779,178.0,115,20,240,MOVE_RIGHT
99,341,9,9,999,100,110,25,240,MOVE_LEFT
99,341,9,9,8.777777777777779,178.0,120,25,240,MOVE_RIGHT
108,350,9,9,999,100,105,30,240,MOVE_LEFT
108,350,9,9,7.777777777777778,178.0,125,30,240,MOVE_RIGHT
117,359,9,9,6.777777777777778,178.0,130,35,240,MOVE_RIGHT
126,368,9,9,5.777777777777778,178.0,135,40,240,MOVE_RIGHT
126,368,9,9,999,100,95,40,240,MOVE_LEFT
135,377,9,9,4.777777777777778,178.0,140,45,240,MOVE_RIGHT
144,386,9,9,999,100,85,50,240,MOVE_LEFT
144,386,9,9,3.7777777777777777,178.0,145,50,240,MOVE_RIGHT
153,395,9,9,999,100,85,55,240,MOVE_LEFT
